probe_id,source_id,endpoint,model,date_local,cp,cp_utc,target_valid_time_utc,selected_run_time_utc,selected_available_time_utc,selected_lead_h,causal_class,success,error,production_status
om_probe_00044,historical_forecast_best_match,historical_forecast,best_match,2024-07-15,23:00,2024-07-15T11:00:00+00:00,2024-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00045,historical_forecast_best_match,historical_forecast,best_match,2024-10-15,20:00,2024-10-15T07:00:00+00:00,2024-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00046,historical_forecast_best_match,historical_forecast,best_match,2024-10-15,21:00,2024-10-15T08:00:00+00:00,2024-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00047,historical_forecast_best_match,historical_forecast,best_match,2024-10-15,22:00,2024-10-15T09:00:00+00:00,2024-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00048,historical_forecast_best_match,historical_forecast,best_match,2024-10-15,23:00,2024-10-15T10:00:00+00:00,2024-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00049,historical_forecast_best_match,historical_forecast,best_match,2025-01-15,20:00,2025-01-15T07:00:00+00:00,2025-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00050,historical_forecast_best_match,historical_forecast,best_match,2025-01-15,21:00,2025-01-15T08:00:00+00:00,2025-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00051,historical_forecast_best_match,historical_forecast,best_match,2025-01-15,22:00,2025-01-15T09:00:00+00:00,2025-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00052,historical_forecast_best_match,historical_forecast,best_match,2025-01-15,23:00,2025-01-15T10:00:00+00:00,2025-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00053,historical_forecast_best_match,historical_forecast,best_match,2025-04-15,20:00,2025-04-15T08:00:00+00:00,2025-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
