method,candidate_version,macro_regime_label,cp,n_train,n_test,n_assigned,n_low_confidence,coverage_share,low_confidence_share,mean_entropy,mean_margin,silhouette_score,davies_bouldin_score,calinski_harabasz_score,purity_vs_v21,nmi_vs_v21,ari_vs_v21,temporal_stability,fold_stability,dead_regime_flag,production_status
distance_softmax_v2,v2,macro_light_marine_or_residual,22:00,68,4,72,65,0.0032991202346041057,0.9027777777777778,1.4423504408777212,0.24505453945998276,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_light_marine_or_residual,21:00,87,4,91,84,0.004169721407624633,0.9230769230769231,1.4451845066267572,0.24324335870213432,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_nw_continuum,22:00,3391,90,3481,3323,0.15950329912023462,0.9546107440390692,1.3698284117471369,0.2702473747108867,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_nw_continuum,20:00,3215,79,3294,3149,0.15093475073313783,0.9559805707346691,1.3892822522073278,0.2621878766388312,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_nw_continuum,21:00,3299,86,3385,3226,0.15510447214076245,0.9530280649926145,1.3747074073508088,0.26675388342174233,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_nw_continuum,23:00,3472,94,3566,3411,0.16339809384164222,0.9565339315759955,1.372918220364517,0.26910993642414044,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_southerly_flow,21:00,1334,45,1379,1205,0.06318731671554252,0.873821609862219,1.3486920125908273,0.31755022182821957,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_southerly_flow,22:00,1335,44,1379,1210,0.06318731671554252,0.8774474256707759,1.3535504443493163,0.31493604789997487,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_southerly_flow,20:00,1334,46,1380,1198,0.06323313782991202,0.8681159420289855,1.347763690175848,0.3167281940648542,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_southerly_flow,23:00,1345,43,1388,1230,0.06359970674486803,0.8861671469740634,1.360357022400318,0.31036555206504424,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_calm_radiative,20:00,753,29,782,0,0.03583211143695015,0.0,0.0,0.7003035356978629,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_calm_radiative,23:00,485,17,502,0,0.023002199413489736,0.0,0.0,0.7000545256648516,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_calm_radiative,22:00,576,20,596,0,0.027309384164222874,0.0,0.0,0.7000463578917722,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
distance_softmax_v22,v2.2,macro_calm_radiative,21:00,669,23,692,0,0.031708211143695014,0.0,0.0,0.7000745017491871,0.053919325465834625,5.621884544628355,43.669430087528816,1.0,1.0,1.0,0.9899589045547622,0.6154294479346255,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_nw_continuum,22:00,3297,99,3396,408,0.15560850439882698,0.12014134275618374,0.2490871741244336,0.7943566492630629,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_nw_continuum,21:00,3404,102,3506,411,0.16064882697947214,0.11722760981175129,0.24386107428058065,0.8021285298420516,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
