policy_id,n_days,n_cp_rows,mae,exact_bracket_pct,any_cp_exact_pct,cp23_exact_pct,production_status,slice_type,slice_name
always_recent,12,12,1.3541666666666667,33.333333333333336,33.333333333333336,33.333333333333336,EXPERIMENT_ONLY,month_cp,2024-01|23:00
always_season,12,12,1.7291666666666667,0.0,0.0,0.0,EXPERIMENT_ONLY,month_cp,2024-01|23:00
selected_policy,12,12,1.7291666666666667,0.0,0.0,0.0,EXPERIMENT_ONLY,month_cp,2024-01|23:00
always_augmented,29,29,1.0156888026876703,27.586206896551722,27.586206896551722,,EXPERIMENT_ONLY,month_cp,2024-02|20:00
always_recent,29,29,0.7722758620689656,34.48275862068966,34.48275862068966,,EXPERIMENT_ONLY,month_cp,2024-02|20:00
always_season,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,,EXPERIMENT_ONLY,month_cp,2024-02|20:00
selected_policy,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,,EXPERIMENT_ONLY,month_cp,2024-02|20:00
always_augmented,29,29,0.8528681773034387,37.93103448275862,37.93103448275862,,EXPERIMENT_ONLY,month_cp,2024-02|21:00
always_recent,29,29,0.7722758620689656,34.48275862068966,34.48275862068966,,EXPERIMENT_ONLY,month_cp,2024-02|21:00
always_season,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,,EXPERIMENT_ONLY,month_cp,2024-02|21:00
selected_policy,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,,EXPERIMENT_ONLY,month_cp,2024-02|21:00
always_augmented,29,29,0.8784177033086858,37.93103448275862,37.93103448275862,,EXPERIMENT_ONLY,month_cp,2024-02|22:00
always_recent,29,29,0.7722758620689656,34.48275862068966,34.48275862068966,,EXPERIMENT_ONLY,month_cp,2024-02|22:00
always_season,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,,EXPERIMENT_ONLY,month_cp,2024-02|22:00
selected_policy,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,,EXPERIMENT_ONLY,month_cp,2024-02|22:00
always_augmented,29,29,0.7462509059352398,41.37931034482759,41.37931034482759,41.37931034482759,EXPERIMENT_ONLY,month_cp,2024-02|23:00
always_recent,29,29,0.7722758620689656,34.48275862068966,34.48275862068966,34.48275862068966,EXPERIMENT_ONLY,month_cp,2024-02|23:00
always_season,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,10.344827586206897,EXPERIMENT_ONLY,month_cp,2024-02|23:00
selected_policy,29,29,1.0706896551724139,10.344827586206897,10.344827586206897,10.344827586206897,EXPERIMENT_ONLY,month_cp,2024-02|23:00
always_augmented,31,31,0.9496166746178739,41.935483870967744,41.935483870967744,,EXPERIMENT_ONLY,month_cp,2024-03|20:00
always_recent,31,31,0.7330236559139784,45.16129032258065,45.16129032258065,,EXPERIMENT_ONLY,month_cp,2024-03|20:00
always_season,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,,EXPERIMENT_ONLY,month_cp,2024-03|20:00
selected_policy,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,,EXPERIMENT_ONLY,month_cp,2024-03|20:00
always_augmented,31,31,0.8899164645843256,32.25806451612903,32.25806451612903,,EXPERIMENT_ONLY,month_cp,2024-03|21:00
always_recent,31,31,0.7330236559139784,45.16129032258065,45.16129032258065,,EXPERIMENT_ONLY,month_cp,2024-03|21:00
always_season,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,,EXPERIMENT_ONLY,month_cp,2024-03|21:00
selected_policy,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,,EXPERIMENT_ONLY,month_cp,2024-03|21:00
always_augmented,31,31,0.8998898382526811,35.483870967741936,35.483870967741936,,EXPERIMENT_ONLY,month_cp,2024-03|22:00
always_recent,31,31,0.7330236559139784,45.16129032258065,45.16129032258065,,EXPERIMENT_ONLY,month_cp,2024-03|22:00
always_season,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,,EXPERIMENT_ONLY,month_cp,2024-03|22:00
selected_policy,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,,EXPERIMENT_ONLY,month_cp,2024-03|22:00
always_augmented,31,31,0.8017524415025248,29.032258064516128,29.032258064516128,29.032258064516128,EXPERIMENT_ONLY,month_cp,2024-03|23:00
always_recent,31,31,0.7330236559139784,45.16129032258065,45.16129032258065,45.16129032258065,EXPERIMENT_ONLY,month_cp,2024-03|23:00
always_season,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,38.70967741935484,EXPERIMENT_ONLY,month_cp,2024-03|23:00
selected_policy,31,31,0.7421309872922778,38.70967741935484,38.70967741935484,38.70967741935484,EXPERIMENT_ONLY,month_cp,2024-03|23:00
always_augmented,30,30,0.8705209787803546,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|20:00
always_recent,30,30,0.830195555555555,36.666666666666664,36.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-04|20:00
always_season,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|20:00
selected_policy,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|20:00
always_augmented,30,30,0.7786591065480505,46.666666666666664,46.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-04|21:00
always_recent,30,30,0.830195555555555,36.666666666666664,36.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-04|21:00
always_season,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|21:00
selected_policy,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|21:00
always_augmented,30,30,0.792521304124658,46.666666666666664,46.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-04|22:00
