macro_regime_label,subtype_label,latent_component_id,source_candidate_id,stratum_type,stratum_value,n_source_rows,production_status
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-7-C04,RDC-V1-MONTH-7-C04,month,7,298,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-7-C05,RDC-V1-MONTH-7-C05,month,7,146,NOT_PRODUCTION
macro_light_marine_or_residual,subtype_transition_low_confidence,RDC-V1-MONTH-8-C00,RDC-V1-MONTH-8-C00,month,8,127,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-8-C01,RDC-V1-MONTH-8-C01,month,8,243,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-8-C02,RDC-V1-MONTH-8-C02,month,8,337,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-8-C03,RDC-V1-MONTH-8-C03,month,8,253,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-8-C04,RDC-V1-MONTH-8-C04,month,8,284,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-8-C05,RDC-V1-MONTH-8-C05,month,8,332,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-9-C00,RDC-V1-MONTH-9-C00,month,9,271,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-9-C01,RDC-V1-MONTH-9-C01,month,9,341,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-9-C02,RDC-V1-MONTH-9-C02,month,9,245,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-9-C03,RDC-V1-MONTH-9-C03,month,9,218,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-9-C04,RDC-V1-MONTH-9-C04,month,9,330,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-9-C05,RDC-V1-MONTH-9-C05,month,9,139,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-DJF-C00,RDC-V1-SEASON-DJF-C00,season,DJF,801,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-DJF-C01,RDC-V1-SEASON-DJF-C01,season,DJF,487,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-DJF-C02,RDC-V1-SEASON-DJF-C02,season,DJF,918,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-DJF-C03,RDC-V1-SEASON-DJF-C03,season,DJF,1183,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-DJF-C04,RDC-V1-SEASON-DJF-C04,season,DJF,833,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-DJF-C05,RDC-V1-SEASON-DJF-C05,season,DJF,620,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-JJA-C00,RDC-V1-SEASON-JJA-C00,season,JJA,534,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-JJA-C01,RDC-V1-SEASON-JJA-C01,season,JJA,557,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-JJA-C02,RDC-V1-SEASON-JJA-C02,season,JJA,691,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-JJA-C03,RDC-V1-SEASON-JJA-C03,season,JJA,1054,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-JJA-C04,RDC-V1-SEASON-JJA-C04,season,JJA,1353,NOT_PRODUCTION
macro_light_marine_or_residual,subtype_transition_low_confidence,RDC-V1-SEASON-JJA-C05,RDC-V1-SEASON-JJA-C05,season,JJA,480,NOT_PRODUCTION
macro_light_marine_or_residual,subtype_transition_low_confidence,RDC-V1-SEASON-MAM-C00,RDC-V1-SEASON-MAM-C00,season,MAM,676,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-MAM-C01,RDC-V1-SEASON-MAM-C01,season,MAM,1051,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-MAM-C02,RDC-V1-SEASON-MAM-C02,season,MAM,745,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-MAM-C03,RDC-V1-SEASON-MAM-C03,season,MAM,1030,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-MAM-C04,RDC-V1-SEASON-MAM-C04,season,MAM,614,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-MAM-C05,RDC-V1-SEASON-MAM-C05,season,MAM,914,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-SON-C00,RDC-V1-SEASON-SON-C00,season,SON,457,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-SON-C01,RDC-V1-SEASON-SON-C01,season,SON,729,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-SON-C02,RDC-V1-SEASON-SON-C02,season,SON,1023,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-SON-C03,RDC-V1-SEASON-SON-C03,season,SON,1056,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-SEASON-SON-C04,RDC-V1-SEASON-SON-C04,season,SON,857,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-SEASON-SON-C05,RDC-V1-SEASON-SON-C05,season,SON,597,NOT_PRODUCTION
