experiment_id,candidate_version,macro_regime_label,month,cp,n_assignment_rows,n_unique_days,date_window_start,date_window_end,remaining_warming_p10,remaining_warming_p25,remaining_warming_p50,remaining_warming_p75,remaining_warming_p90,remaining_warming_mean,remaining_warming_std,tmax_int_p50,tmax_hour_p10,tmax_hour_p50,tmax_hour_p90,tmax_hour_before_13_share,tmax_hour_13_17_share,tmax_hour_after_17_share,underpowered_n_lt_min_cell,causal_role,diagnostic_note,production_status
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,10,20:00,25,25,2013-10-08,2025-10-04,2.0,3.0,4.0,6.0,7.0,4.32,1.8645821694595994,17.0,10.0,13.0,15.0,0.44,0.52,0.04,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,10,21:00,21,21,2013-10-08,2025-10-04,1.0,2.0,3.0,4.0,5.0,3.1904761904761907,1.6618979396776332,18.0,10.0,12.0,14.0,0.5238095238095238,0.47619047619047616,0.0,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,10,22:00,14,14,2013-10-08,2025-10-04,0.0,1.0,2.0,2.0,3.0,1.6428571428571428,1.1507283885330302,17.0,10.0,12.0,13.0,0.7142857142857143,0.2857142857142857,0.0,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,10,23:00,12,12,2013-10-08,2025-10-04,0.0,0.0,1.0,1.0,3.0,1.0,1.348399724926484,17.0,10.0,12.0,13.0,0.75,0.25,0.0,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,11,20:00,27,27,2013-11-02,2025-11-19,3.0,4.0,4.0,5.0,6.0,4.296296296296297,1.3816048309237736,19.0,12.0,14.0,16.0,0.18518518518518517,0.7037037037037037,0.1111111111111111,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,11,21:00,25,25,2013-11-02,2025-11-19,2.0,3.0,4.0,4.0,5.0,3.56,1.3253930234714029,19.0,12.0,15.0,18.0,0.2,0.68,0.12,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,11,22:00,20,20,2013-11-02,2025-11-19,1.0,2.0,3.0,4.0,4.0,2.7,1.3416407864998738,20.0,12.0,15.0,17.0,0.2,0.7,0.1,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,11,23:00,15,15,2013-11-02,2024-11-06,1.0,1.0,2.0,3.0,4.0,2.0,1.1952286093343936,19.0,12.0,15.0,18.0,0.13333333333333333,0.7333333333333333,0.13333333333333333,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,12,20:00,29,29,2013-12-29,2024-12-06,1.0,2.0,4.0,5.0,5.0,3.6206896551724137,1.9895044807232112,21.0,11.0,13.0,18.0,0.41379310344827586,0.4482758620689655,0.13793103448275862,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,12,21:00,18,18,2013-12-29,2024-12-06,0.0,2.0,3.0,4.0,5.0,2.888888888888889,2.025975114210116,20.0,1.0,15.0,18.0,0.3888888888888889,0.4444444444444444,0.16666666666666666,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,12,22:00,18,18,2013-12-29,2023-12-19,0.0,1.0,3.0,4.0,4.0,2.4444444444444446,1.854159781877502,20.0,1.0,15.0,18.0,0.3888888888888889,0.4444444444444444,0.16666666666666666,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,12,23:00,15,15,2013-12-29,2024-12-06,0.0,0.0,1.0,2.0,4.0,1.6,1.8047556225547152,20.0,0.0,13.0,18.0,0.4666666666666667,0.4,0.13333333333333333,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,1,20:00,218,218,2014-01-01,2025-01-31,2.0,3.0,4.0,5.0,6.0,3.86697247706422,1.6726895501067232,22.0,10.0,13.0,16.0,0.3348623853211009,0.6284403669724771,0.03669724770642202,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
