iteration_id,iteration_label,month,cp,n_cp_rows,exact_bracket_rows,exact_bracket_pct,mae,variant_id,train_start,production_status
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-03,20:00,31,6,19.35483870967742,1.3961122358966453,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-03,21:00,31,6,19.35483870967742,1.3828057311823898,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-03,22:00,31,8,25.806451612903224,1.2342483409658112,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-03,23:00,31,8,25.806451612903224,1.2040227306301614,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-04,20:00,30,10,33.33333333333333,0.9951517080273485,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-04,21:00,30,12,40.0,1.0160290821663946,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-04,22:00,30,8,26.666666666666668,1.0844394893251594,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-04,23:00,30,7,23.333333333333332,1.1454893348459136,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-05,20:00,31,8,25.806451612903224,1.1473596568674,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-05,21:00,31,6,19.35483870967742,1.0641967354875836,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-05,22:00,31,10,32.25806451612903,0.8887219687290657,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-05,23:00,31,10,32.25806451612903,0.8892588055943891,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-06,20:00,30,8,26.666666666666668,1.2444317782008485,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-06,21:00,30,8,26.666666666666668,1.231349058612552,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-06,22:00,30,12,40.0,0.9153664103020115,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-06,23:00,30,12,40.0,0.9074404982261792,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-07,20:00,31,9,29.03225806451613,1.1042344410250098,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-07,21:00,31,12,38.70967741935484,1.0706626771451233,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-07,22:00,31,11,35.483870967741936,0.9107393710023967,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
