stratum_type,stratum_value,year,best_k_by_bic,all_year_best_k_by_bic,best_k_matches_all_year,n_rows,smallest_cluster_rows,eta2_tmax_anomaly,stability_note
month,9,2025,6,6,true,109,12,0.1992703710568684,Year best-k matches all-year best-k.
season,DJF,2025,6,6,true,322,34,0.5000226181228096,Year best-k matches all-year best-k.
season,JJA,2025,6,6,true,313,20,0.29036303994210066,Year best-k matches all-year best-k.
season,MAM,2025,6,6,true,342,8,0.4059276562427283,Year best-k matches all-year best-k.
season,SON,2025,5,6,false,328,28,0.22453598451896736,Year best-k differs from all-year best-k; inspect before regime promotion.
month,1,2026,6,6,true,120,4,0.2415499061100679,Year best-k matches all-year best-k.
month,2,2026,6,6,true,105,4,0.2443018155659833,Year best-k matches all-year best-k.
month,3,2026,6,6,true,107,8,0.6866668856374534,Year best-k matches all-year best-k.
month,4,2026,6,6,true,102,8,0.5314227025660471,Year best-k matches all-year best-k.
month,5,2026,6,6,true,115,4,0.3297547050109936,Year best-k matches all-year best-k.
month,6,2026,5,6,false,12,1,1.0,Year best-k differs from all-year best-k; inspect before regime promotion.
season,DJF,2026,5,6,false,225,8,0.27858521693927324,Year best-k differs from all-year best-k; inspect before regime promotion.
season,JJA,2026,5,6,false,12,1,1.0,Year best-k differs from all-year best-k; inspect before regime promotion.
season,MAM,2026,6,6,true,324,12,0.31009239213811685,Year best-k matches all-year best-k.
