stratum_type,stratum_value,k,cluster_id,n_rows,wind_dir_deg_mean,wind_speed_mean,qnh_hpa_mean,relh_mean,dewpoint_depression_mean,precip_pre_cp_sum_mean,cloud_cover_score_mean,temp_slope_pre_cp_mean,tmax_anomaly_mean,remaining_warming_mean,dominant_current_regime
month,1,6,3,307,16.59280502205264,9.294823564878412,1013.1846054572188,79.83390760908215,3.580174835338912,0.0,1.8221372365179778,0.30934620436856153,1.5987876248530164,2.726384364820847,southerly_disrupted
month,1,6,4,204,350.9733871638171,17.939214038005264,1007.9123691246572,70.89018492220347,5.442952378909612,0.0,1.6285774090549248,0.11644786471237904,-0.33727931006427303,2.215686274509804,southerly_disrupted
month,1,6,5,287,154.60514481561617,9.774812754995683,1017.5314868198162,74.711083316751,4.5128272666164655,0.0,2.463306023515894,0.12197095546237456,-1.9054968409790782,2.710801393728223,southerly_disrupted
month,2,2,0,606,354.0597889166878,14.1369615366416,1011.9914103419187,86.98504079813054,2.2464099802785644,0.0,2.650921436097755,-0.02604820529069425,-0.6355703966623089,2.051155115511551,southerly_disrupted
month,2,2,1,908,26.170192177611316,12.240799591178675,1016.6288428719787,76.25749937374044,4.2808778168663535,0.0,1.944658286495037,0.17190435123736536,0.1952767849721542,2.6640969162995596,southerly_disrupted
month,2,3,0,373,191.66433288532454,13.16167640728385,1012.9313320586778,89.83204391000083,1.7204466481295078,0.0,2.6577588812763704,-0.07428503670930187,-1.5354279427386321,1.7828418230563003,southerly_disrupted
month,2,3,1,584,3.3986840587287253,16.460473814977945,1011.4743721158296,77.71928405053588,4.031878094065897,0.0,2.3389560946750114,0.13583008655462755,1.265120186094597,2.3698630136986303,southerly_disrupted
month,2,3,2,557,79.56077729820481,9.262877400594345,1019.4638488715048,77.30579872725349,4.043120465128669,0.0,1.8221071676955842,0.15922349490490864,-0.6713822363741077,2.895870736086176,southerly_disrupted
month,2,4,0,329,192.327993213628,14.07052602980515,1012.6177323549933,89.967155612913,1.6968967035679021,0.0,2.6951953031383953,-0.09245187392397392,-1.81380828124104,1.6048632218844985,southerly_disrupted
month,2,4,1,462,0.8709395612845406,17.217412590218235,1010.3994122754978,76.96234851383336,4.18944386398115,0.0,2.35707758141359,0.11802419783199804,1.2387384627950655,2.3354978354978355,southerly_disrupted
month,2,4,2,480,20.100900146109026,8.650209984262789,1017.4064955004268,81.6618357254188,3.2112716714240617,0.0,1.928636574335861,0.1917875478277038,0.8760220125786152,3.029166666666667,southerly_disrupted
month,2,4,3,243,159.1803738896499,12.123029823301197,1020.8020729986898,72.43318434890134,4.992382810069047,0.0,1.9373393472671159,0.09932264478466467,-2.4851405388617143,2.4732510288065845,southerly_disrupted
month,2,5,0,272,198.4744112388329,14.306850441971143,1011.9405317121804,91.03854737678795,1.5105508361751903,0.0,2.7342184470168416,-0.10231079911416507,-1.8536348501664828,1.4852941176470589,southerly_disrupted
month,2,5,1,468,1.2549252181197743,17.159240119253383,1010.5614032218979,77.49064778025623,4.074079029711991,0.0,2.4064393710355394,0.12081844193697516,1.3013425253991282,2.371794871794872,southerly_disrupted
month,2,5,2,231,166.95935269074238,13.690991651342058,1020.9082373816556,76.63639601714699,4.139184611361041,0.0,2.1154009503668743,0.04772435731357682,-2.698490974434372,2.3506493506493507,southerly_disrupted
month,2,5,3,456,19.278053225855636,8.647770629503844,1016.9743876100055,82.07879743962009,3.129725626267616,0.0,1.902807098293935,0.1799012739438124,0.830188679245282,2.9890350877192984,southerly_disrupted
month,2,5,4,87,114.23955583739753,7.513270637408568,1018.4494146675078,66.61720683849995,6.293289213978868,0.0,1.6775794807211182,0.21299008726552693,-0.780443504662764,2.781609195402299,southerly_disrupted
month,2,6,0,212,194.98090469667943,15.344968692915103,1011.5613497142326,91.15526852616196,1.4872152139896695,0.0,2.734743263612558,-0.13454337660516213,-2.5070754716981143,1.2358490566037736,southerly_disrupted
month,2,6,1,147,348.3138286574309,16.376948021531504,1005.2950203418919,70.8677353832515,5.471038012644232,0.0,1.7950070185285325,0.05744680848885002,0.6898825567963024,1.9251700680272108,southerly_disrupted
month,2,6,2,261,82.5493821293242,7.305269486784032,1018.6818277456664,85.94048192701945,2.39576805323601,0.0,2.1648443803466715,0.048668161343866825,-0.6271867996819211,2.942528735632184,southerly_disrupted
month,2,6,3,310,18.607606870983894,10.098820443766384,1016.1709941057143,78.55231983960604,3.8088785456290304,0.0,1.597496545896995,0.25121565619387376,1.0842209373097982,2.8419354838709676,southerly_disrupted
month,2,6,4,381,4.959686700601224,16.877746988199576,1013.2426276529651,81.42177410499987,3.2828869643045815,0.0,2.7688583448524144,0.1281636022124457,1.4460023275392453,2.4960629921259843,southerly_disrupted
month,2,6,5,203,158.27560953527248,12.57817104339737,1020.6995247049944,70.97975004386323,5.280795803444844,0.0,2.0364195513096406,0.10331466766506651,-2.4684566409517625,2.5467980295566504,southerly_disrupted
month,3,2,0,1059,24.13793726115783,10.71531045246933,1017.6101857980593,85.9168890887228,2.395924217984281,0.0,2.417239144285552,0.05310701585778408,0.22272381126443166,2.437204910292729,southerly_disrupted
