month,regime_label,cp,n_rows,p10_remaining_warming,p25_remaining_warming,p50_remaining_warming,p75_remaining_warming,p90_remaining_warming
7,calm_radiative,21:00,11,0.0,1.0,2.0,2.0,3.0
7,calm_radiative,22:00,10,0.0,1.0,1.0,2.0,2.0
7,calm_radiative,23:00,10,0.0,1.0,1.0,2.0,2.0
7,insufficient,20:00,4,,,,,
7,insufficient,21:00,4,3.0,3.0,3.0,3.0,3.0
7,insufficient,22:00,3,,,,,
7,insufficient,23:00,3,,,,,
7,southerly_disrupted,20:00,361,0.0,1.0,2.0,4.0,6.0
7,southerly_disrupted,21:00,367,0.0,1.0,2.0,3.0,5.0
7,southerly_disrupted,22:00,370,0.0,1.0,2.0,3.0,4.0
7,southerly_disrupted,23:00,370,0.0,1.0,1.0,2.0,3.0
7,standard_nw,20:00,44,1.0,2.0,3.0,5.0,7.0
7,standard_nw,21:00,41,0.0,2.0,3.0,5.0,6.0
7,standard_nw,22:00,42,0.0,2.0,3.0,4.0,6.0
7,standard_nw,23:00,42,0.0,1.0,2.0,2.0,4.0
7,strong_nw_foehn,20:00,14,0.0,0.0,1.0,3.0,3.0
7,strong_nw_foehn,21:00,12,0.0,1.0,1.0,2.0,3.0
7,strong_nw_foehn,22:00,10,0.0,1.0,1.0,1.0,1.0
7,strong_nw_foehn,23:00,10,0.0,0.0,1.0,1.0,1.0
8,calm_radiative,20:00,15,1.0,2.0,2.0,4.0,4.0
8,calm_radiative,21:00,16,1.0,1.0,2.0,3.0,4.0
8,calm_radiative,22:00,16,1.0,1.0,2.0,2.0,4.0
8,calm_radiative,23:00,19,0.0,1.0,1.0,2.0,2.0
8,insufficient,20:00,4,0.0,0.0,0.0,4.0,4.0
8,insufficient,21:00,3,0.0,0.0,0.0,0.0,0.0
8,insufficient,22:00,3,0.0,0.0,0.0,0.0,0.0
8,insufficient,23:00,3,0.0,0.0,0.0,0.0,0.0
8,southerly_disrupted,20:00,344,0.0,1.0,2.0,4.0,6.0
8,southerly_disrupted,21:00,347,0.0,1.0,2.0,4.0,5.0
8,southerly_disrupted,22:00,349,0.0,1.0,2.0,3.0,4.0
8,southerly_disrupted,23:00,348,0.0,0.0,1.0,2.0,3.0
8,standard_nw,20:00,68,1.0,2.0,3.0,4.0,5.0
8,standard_nw,21:00,66,1.0,2.0,3.0,4.0,5.0
8,standard_nw,22:00,63,1.0,2.0,2.0,3.0,4.0
8,standard_nw,23:00,61,0.0,1.0,2.0,2.0,3.0
8,strong_nw_foehn,20:00,14,1.0,2.0,2.0,2.0,4.0
8,strong_nw_foehn,21:00,13,1.0,2.0,2.0,2.0,3.0
8,strong_nw_foehn,22:00,14,1.0,1.0,2.0,2.0,2.0
8,strong_nw_foehn,23:00,14,0.0,1.0,1.0,1.0,2.0
9,calm_radiative,20:00,12,0.0,2.0,3.0,4.0,4.0
9,calm_radiative,21:00,11,0.0,2.0,3.0,4.0,4.0
9,calm_radiative,22:00,10,1.0,1.0,2.0,3.0,3.0
9,calm_radiative,23:00,12,0.0,0.0,1.0,2.0,2.0
9,southerly_disrupted,20:00,334,0.0,1.0,2.0,4.0,6.0
9,southerly_disrupted,21:00,340,0.0,1.0,2.0,3.0,5.0
9,southerly_disrupted,22:00,343,0.0,1.0,2.0,3.0,3.0
9,southerly_disrupted,23:00,345,0.0,0.0,1.0,2.0,2.0
9,standard_nw,20:00,66,1.0,2.0,3.0,4.0,6.0
9,standard_nw,21:00,62,1.0,2.0,3.0,4.0,5.0
9,standard_nw,22:00,56,1.0,1.0,2.0,3.0,4.0
9,standard_nw,23:00,48,0.0,1.0,1.0,2.0,3.0
9,strong_nw_foehn,20:00,38,1.0,2.0,3.0,4.0,4.0
9,strong_nw_foehn,21:00,37,1.0,1.0,2.0,3.0,4.0
9,strong_nw_foehn,22:00,41,1.0,1.0,2.0,2.0,3.0
9,strong_nw_foehn,23:00,45,0.0,1.0,1.0,1.0,2.0
10,calm_radiative,20:00,10,2.0,2.0,3.0,4.0,4.0
10,calm_radiative,21:00,9,2.0,2.0,2.0,3.0,3.0
10,calm_radiative,22:00,12,1.0,1.0,2.0,2.0,3.0
10,calm_radiative,23:00,11,0.0,1.0,1.0,2.0,2.0
10,southerly_disrupted,20:00,349,0.0,1.0,3.0,4.0,5.0
