stratum_type,stratum_value,k,n_rows,n_features,min_cluster_rows,smallest_cluster_rows,underpowered_cluster,sse,aic_approx,bic_approx,silhouette_mean,eta2_tmax_anomaly,eta2_remaining_warming,converged
month,5,5,1695,9,30,235,false,7680.506791228672,32921.5013217902,33187.83778476111,0.15764519817916947,0.3834905452537517,0.2316664095453808,true
month,5,6,1695,9,30,204,false,7273.655383864924,32111.224081732857,32431.914924901914,0.14559914619906944,0.35849903597232424,0.2377883176804931,true
month,6,2,1558,9,30,593,false,9816.856883689674,34831.49726925286,34933.16927555505,0.20920307772938102,0.04785204832654751,0.09648658279298837,true
month,6,3,1558,9,30,387,false,8927.961791368609,33520.628975280066,33675.81256384656,0.1363047769515253,0.04657206621436402,0.11324574037696793,true
month,6,4,1558,9,30,289,false,7784.969721042515,31619.710183145362,31828.40535397616,0.1825619216041312,0.07726307630818634,0.23705588278350978,true
month,6,5,1558,9,30,212,false,7089.371693890473,30327.27625223071,30589.483005325812,0.16647770420970887,0.22285765992988954,0.3071154682771124,true
month,6,6,1558,9,30,204,false,6624.043144288185,29395.311628592186,29711.029963951598,0.1570226518835894,0.2689525272577646,0.25136245034455257,true
month,7,2,1535,9,30,729,false,9471.996922665894,34029.28061369502,34130.67004123542,0.21877133673537247,0.10284451067861652,0.1935454924979467,true
month,7,3,1535,9,30,383,false,8479.702446691887,32520.45202578914,32675.20430992976,0.20276443835486505,0.16557851971699306,0.22068804372853454,true
month,7,4,1535,9,30,206,false,7655.760838418476,31128.324928637976,31336.440069378805,0.21546569099479232,0.38424884095819356,0.23805669837860072,true
month,7,5,1535,9,30,160,false,6868.823920959581,29649.87385028814,29911.351847629183,0.1841674269627895,0.423593523210859,0.2629574080749353,true
month,7,6,1535,9,30,146,false,6521.388372132144,28952.79788607394,29267.638740015194,0.18053495477930057,0.43842825665392704,0.2542387010187085,true
month,8,2,1576,9,30,763,false,9837.318769832367,35100.07765037636,35201.9679105143,0.21839562756677097,0.06551011636622975,0.15607499335617,true
month,8,3,1576,9,30,421,false,8803.872567357525,33545.774185487135,33701.29089832925,0.17450871602653836,0.15710012673854823,0.2011358905966077,true
month,8,4,1576,9,30,200,false,8049.043795985666,32294.343291672325,32503.48645721862,0.20560202522098664,0.3922993392053161,0.17612570001395214,true
month,8,5,1576,9,30,141,false,7517.334507999934,31344.98490449464,31607.754522745112,0.19571412313618872,0.363997057736432,0.22172350650588624,true
month,8,6,1576,9,30,127,false,6904.797872607754,30159.414298510594,30475.810369465245,0.18730188450621854,0.3978197147707658,0.21713039113769453,true
month,9,2,1544,9,30,590,false,10076.155339595465,35006.55880436201,35108.059307243115,0.17226341960210959,0.006103312148755986,0.025052957434533927,true
month,9,3,1544,9,30,378,false,8485.781480562986,32639.50699125567,32794.42881144262,0.174369380700089,0.01488393433118029,0.1460094468260419,true
month,9,4,1544,9,30,299,false,7582.772098564461,31096.024246943205,31304.36738443601,0.18970647758595746,0.3259248632349686,0.15684076320491358,true
month,9,5,1544,9,30,233,false,6869.340763951281,29742.950731290523,30004.715186089175,0.1910792303513056,0.4232438179252213,0.1375462072398785,true
month,9,6,1544,9,30,139,false,6376.841730554854,28729.155105319747,29044.340877424245,0.1894887280827646,0.3879031871678599,0.14485444748388812,true
month,10,2,1595,9,30,484,false,10400.723056685989,36150.21433631879,36252.332287607955,0.19369312665196575,0.038831965407474967,0.00022027804557553184,true
month,10,3,1595,9,30,368,false,8693.078047940984,33595.6702634996,33751.53450494095,0.18288593189945965,0.03562620184195514,0.08928349770273207,true
month,10,4,1595,9,30,223,false,7883.691937303086,32212.745086027324,32422.355617620862,0.18738569995709,0.2331089008093385,0.08648853438708337,true
month,10,5,1595,9,30,173,false,7011.283663127904,30549.255125907657,30812.611947653386,0.19177402135687585,0.32157972373389104,0.0818805853235533,true
month,10,6,1595,9,30,159,false,6560.421203996795,29615.135777592208,29932.238889490127,0.16366649745968112,0.33752034546117227,0.09651366856246726,true
month,11,2,1580,9,30,755,false,10170.1228764294,35626.13710526975,35728.07552766415,0.18525663474912132,0.007484228238369848,0.006081869658109358,true
month,11,3,1580,9,30,313,false,9031.697282019257,33958.02427967705,34113.61450333166,0.18391058757670073,0.22775718104618023,0.0032376318273529795,true
month,11,4,1580,9,30,277,false,7842.243810195214,31969.94248006754,32179.18450498236,0.19022030405858775,0.24385520458373666,0.02241143691344975,true
month,11,5,1580,9,30,204,false,6979.818642857763,30333.283191749273,30596.177017924303,0.2028593405576527,0.28714271547886916,0.029549882860903494,true
month,11,6,1580,9,30,146,false,6557.124274655909,29464.948416297706,29781.494043732946,0.18575927578632162,0.31346350669712736,0.05924096248073291,true
month,12,2,1705,9,30,844,false,10867.690756835116,38291.26838260924,38394.65347001387,0.17633902475471236,0.0007192542719963239,0.004798374847035923,true
