month,cp,regime_label,n_rows,total_rows,share
9,23:00,calm_radiative,12,450,0.02666666666666667
9,23:00,southerly_disrupted,345,450,0.7666666666666667
9,23:00,standard_nw,48,450,0.10666666666666667
9,23:00,strong_nw_foehn,45,450,0.1
10,20:00,calm_radiative,10,464,0.021551724137931036
10,20:00,southerly_disrupted,349,464,0.7521551724137931
10,20:00,standard_nw,57,464,0.12284482758620689
10,20:00,strong_nw_foehn,48,464,0.10344827586206896
10,21:00,calm_radiative,9,464,0.01939655172413793
10,21:00,southerly_disrupted,353,464,0.7607758620689655
10,21:00,standard_nw,55,464,0.11853448275862069
10,21:00,strong_nw_foehn,47,464,0.10129310344827586
10,22:00,calm_radiative,12,464,0.02586206896551724
10,22:00,southerly_disrupted,359,464,0.7737068965517241
10,22:00,standard_nw,47,464,0.10129310344827586
10,22:00,strong_nw_foehn,46,464,0.09913793103448276
10,23:00,calm_radiative,11,464,0.023706896551724137
10,23:00,southerly_disrupted,372,464,0.8017241379310345
10,23:00,standard_nw,41,464,0.08836206896551724
10,23:00,strong_nw_foehn,40,464,0.08620689655172414
11,20:00,calm_radiative,12,453,0.026490066225165563
11,20:00,insufficient,4,453,0.008830022075055188
11,20:00,southerly_disrupted,347,453,0.7660044150110376
11,20:00,standard_nw,58,453,0.1280353200883002
11,20:00,strong_nw_foehn,32,453,0.0706401766004415
11,21:00,calm_radiative,12,453,0.026490066225165563
11,21:00,insufficient,4,453,0.008830022075055188
11,21:00,southerly_disrupted,350,453,0.7726269315673289
11,21:00,standard_nw,52,453,0.11479028697571744
11,21:00,strong_nw_foehn,35,453,0.0772626931567329
11,22:00,calm_radiative,11,453,0.024282560706401765
11,22:00,insufficient,4,453,0.008830022075055188
11,22:00,southerly_disrupted,355,453,0.7836644591611479
11,22:00,standard_nw,46,453,0.10154525386313466
11,22:00,strong_nw_foehn,37,453,0.08167770419426049
11,23:00,calm_radiative,10,453,0.02207505518763797
11,23:00,insufficient,4,453,0.008830022075055188
11,23:00,southerly_disrupted,372,453,0.8211920529801324
11,23:00,standard_nw,31,453,0.0684326710816777
11,23:00,strong_nw_foehn,36,453,0.07947019867549669
12,20:00,calm_radiative,24,491,0.048879837067209775
12,20:00,insufficient,3,491,0.006109979633401222
12,20:00,southerly_disrupted,358,491,0.7291242362525459
12,20:00,standard_nw,74,491,0.15071283095723015
12,20:00,strong_nw_foehn,32,491,0.06517311608961303
12,21:00,calm_radiative,21,491,0.04276985743380855
12,21:00,insufficient,3,491,0.006109979633401222
12,21:00,southerly_disrupted,363,491,0.7393075356415478
12,21:00,standard_nw,69,491,0.14052953156822812
12,21:00,strong_nw_foehn,35,491,0.07128309572301425
12,22:00,calm_radiative,22,491,0.04480651731160896
12,22:00,insufficient,3,491,0.006109979633401222
12,22:00,southerly_disrupted,370,491,0.7535641547861507
12,22:00,standard_nw,61,491,0.12423625254582485
12,22:00,strong_nw_foehn,35,491,0.07128309572301425
12,23:00,calm_radiative,18,491,0.03665987780040733
12,23:00,insufficient,3,491,0.006109979633401222
12,23:00,southerly_disrupted,379,491,0.7718940936863544
12,23:00,standard_nw,50,491,0.10183299389002037
12,23:00,strong_nw_foehn,41,491,0.0835030549898167
