stratum_type,stratum_value,k,cluster_id,n_rows,physical_signature,candidate_regime_family,interpretability_score,dominant_current_regime,promotion_readiness
month,5,5,2,331,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,5,3,418,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,5,4,298,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,6,0,204,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,6,1,307,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,6,2,269,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,6,3,221,easterly_component,mixed_or_transition,0.15,southerly_disrupted,design_evidence_only
month,5,6,4,334,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,6,5,360,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,2,0,593,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,2,1,965,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,3,0,387,westerly_component;windy,mixed_or_transition,0.25,southerly_disrupted,design_evidence_only
month,6,3,1,706,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,3,2,465,easterly_component;windy,mixed_or_transition,0.25,southerly_disrupted,design_evidence_only
month,6,4,0,289,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,6,4,1,653,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,4,2,304,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,6,4,3,312,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,5,0,212,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,6,5,1,251,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,6,5,2,421,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,5,3,372,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,6,5,4,302,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,6,0,204,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,6,6,1,224,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,6,6,2,283,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,6,3,328,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,6,6,4,239,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,6,6,5,280,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,2,0,806,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,2,1,729,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,3,0,383,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,3,1,734,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,3,2,418,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,7,4,0,290,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,4,1,320,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,7,4,2,719,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,4,3,206,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,5,0,295,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,5,1,335,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,5,2,297,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,7,5,3,448,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,5,4,160,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,6,0,172,southerly_flow;windy;moist_cloudy_or_rain;pre_cp_cooling,southerly_disrupted_candidate,0.75,southerly_disrupted,design_evidence_only
month,7,6,1,302,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,7,6,2,225,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,6,3,392,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,6,4,298,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,7,6,5,146,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,2,0,763,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,8,2,1,813,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,3,0,510,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,3,1,421,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,8,3,2,645,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,4,0,485,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,8,4,1,268,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,4,2,623,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,4,3,200,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,5,0,141,westerly_component;windy,mixed_or_transition,0.25,southerly_disrupted,design_evidence_only
month,8,5,1,262,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,5,2,458,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,8,5,3,553,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,5,4,162,easterly_component,mixed_or_transition,0.15,southerly_disrupted,design_evidence_only
month,8,6,0,127,easterly_component;windy,mixed_or_transition,0.25,southerly_disrupted,design_evidence_only
month,8,6,1,243,northerly_nw_flow;windy;moist_cloudy_or_rain,nw_or_foehn_candidate,0.55,southerly_disrupted,design_evidence_only
month,8,6,2,337,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,8,6,3,253,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,6,4,284,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,8,6,5,332,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,9,2,0,590,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
