month,regime_label,cp,cooling_mechanism,n_rows,mean_remaining_warming,mean_tmax_anomaly,fixed_minus_2_trigger_rate,median_min_delta_t_per_h,underpowered_n_lt_30
3,standard_nw,23:00,no_material_cooling,52,1.75,0.9026468155500422,0.0,-1.0,false
3,strong_nw_foehn,20:00,no_material_cooling,20,3.05,1.0795698924731192,0.0,0.0,true
3,strong_nw_foehn,21:00,no_material_cooling,17,2.6470588235294117,1.1266287160025308,0.0,0.0,true
3,strong_nw_foehn,22:00,no_material_cooling,17,2.2941176470588234,1.067805186590766,0.0,0.0,true
3,strong_nw_foehn,23:00,no_material_cooling,18,1.4444444444444444,0.9795698924731191,0.0,0.0,true
4,calm_radiative,20:00,no_material_cooling,15,2.066666666666667,-1.3303834808259605,0.0,-1.0,true
4,calm_radiative,21:00,no_material_cooling,15,1.8,-1.3303834808259605,0.0,-1.0,true
4,calm_radiative,22:00,no_material_cooling,13,1.2307692307692308,-1.50987066031314,0.0,-1.0,true
4,calm_radiative,23:00,no_material_cooling,12,0.6666666666666666,-1.3303834808259605,0.0,-1.0,true
4,insufficient,20:00,insufficient_obs,2,1.5,-3.1637168141592937,0.0,,true
4,insufficient,20:00,no_material_cooling,2,1.5,0.8362831858407063,0.0,0.0,true
4,insufficient,21:00,insufficient_obs,1,0.0,-5.663716814159294,0.0,,true
4,insufficient,21:00,no_material_cooling,1,0.0,0.33628318584070627,0.0,0.0,true
4,insufficient,22:00,insufficient_obs,1,0.0,-5.663716814159294,0.0,,true
4,insufficient,22:00,no_material_cooling,1,0.0,0.33628318584070627,0.0,0.0,true
4,insufficient,23:00,insufficient_obs,1,0.0,-5.663716814159294,0.0,,true
4,insufficient,23:00,no_material_cooling,1,0.0,0.33628318584070627,0.0,0.0,true
4,southerly_disrupted,20:00,ambiguous_cooling,11,1.0,0.518101367658888,1.0,-4.0,true
4,southerly_disrupted,20:00,no_material_cooling,309,2.9223300970873787,-0.13944496949909957,0.0,-2.0,false
4,southerly_disrupted,20:00,radiative_pre_dawn,18,4.388888888888889,-0.49705014749262705,1.0,-4.0,true
4,southerly_disrupted,20:00,southerly_frontal,9,0.3333333333333333,-1.1081612586037382,1.0,-4.0,true
4,southerly_disrupted,21:00,ambiguous_cooling,12,1.0833333333333333,0.6696165191740396,1.0,-4.0,true
4,southerly_disrupted,21:00,no_material_cooling,311,2.5659163987138265,-0.14924736078308795,0.0,-2.0,false
4,southerly_disrupted,21:00,radiative_pre_dawn,18,4.111111111111111,-0.49705014749262705,1.0,-4.0,true
4,southerly_disrupted,21:00,southerly_frontal,9,0.3333333333333333,-1.1081612586037382,1.0,-4.0,true
4,southerly_disrupted,22:00,ambiguous_cooling,12,1.0833333333333333,0.6696165191740396,1.0,-4.0,true
4,southerly_disrupted,22:00,no_material_cooling,311,1.9035369774919615,-0.1363856244486828,0.0,-2.0,false
4,southerly_disrupted,22:00,radiative_pre_dawn,18,2.9444444444444446,-0.49705014749262705,1.0,-4.0,true
4,southerly_disrupted,22:00,southerly_frontal,10,0.3,-1.4637168141592938,1.0,-4.0,true
4,southerly_disrupted,23:00,ambiguous_cooling,12,0.8333333333333334,0.6696165191740396,1.0,-4.0,true
4,southerly_disrupted,23:00,no_material_cooling,321,1.146417445482866,-0.13100653378546195,0.0,-2.0,false
4,southerly_disrupted,23:00,radiative_pre_dawn,18,2.0,-0.49705014749262705,1.0,-4.0,true
4,southerly_disrupted,23:00,southerly_frontal,13,0.23076923076923078,-0.5867937372362169,1.0,-4.0,true
4,standard_nw,20:00,no_material_cooling,64,3.453125,0.9456581858407063,0.0,0.0,false
4,standard_nw,21:00,no_material_cooling,61,3.098360655737705,1.00841433338169,0.0,0.0,false
4,standard_nw,22:00,no_material_cooling,58,2.413793103448276,1.0431797375648442,0.0,0.0,false
4,standard_nw,23:00,no_material_cooling,47,1.702127659574468,0.9745810581811318,0.0,0.0,false
4,strong_nw_foehn,20:00,no_material_cooling,22,2.5454545454545454,0.9271922767497972,0.0,0.0,true
4,strong_nw_foehn,21:00,no_material_cooling,24,2.1666666666666665,0.8779498525073729,0.0,0.0,true
4,strong_nw_foehn,22:00,no_material_cooling,28,1.75,0.8005689001264206,0.0,0.0,true
4,strong_nw_foehn,23:00,no_material_cooling,27,1.1111111111111112,0.9659128154703359,0.0,0.0,true
5,calm_radiative,20:00,no_material_cooling,9,1.7777777777777777,-1.9102564102564097,0.0,-1.0,true
5,calm_radiative,21:00,no_material_cooling,9,1.7777777777777777,-1.9102564102564097,0.0,-1.0,true
5,calm_radiative,22:00,no_material_cooling,9,1.5555555555555556,-1.354700854700854,0.0,-1.0,true
5,calm_radiative,23:00,no_material_cooling,8,0.875,-1.4380341880341874,0.0,-1.0,true
5,insufficient,20:00,insufficient_obs,3,0.0,-2.021367521367521,0.0,,true
5,insufficient,21:00,insufficient_obs,3,0.0,-2.021367521367521,0.0,,true
5,insufficient,22:00,insufficient_obs,3,0.0,-2.021367521367521,0.0,,true
5,insufficient,23:00,insufficient_obs,3,0.0,-2.021367521367521,0.0,,true
5,southerly_disrupted,20:00,ambiguous_cooling,10,0.8,-0.18803418803418737,1.0,-4.0,true
5,southerly_disrupted,20:00,no_material_cooling,328,2.451219512195122,0.0955023973316663,0.0,-2.0,false
5,southerly_disrupted,20:00,radiative_pre_dawn,33,2.8484848484848486,-0.8395493395493389,1.0,-4.0,false
5,southerly_disrupted,20:00,southerly_frontal,10,0.5,-1.6880341880341874,1.0,-6.0,true
5,southerly_disrupted,21:00,ambiguous_cooling,11,0.8181818181818182,-0.3243978243978237,1.0,-4.0,true
5,southerly_disrupted,21:00,no_material_cooling,329,2.303951367781155,0.11439742290806187,0.0,-2.0,false
5,southerly_disrupted,21:00,radiative_pre_dawn,33,2.727272727272727,-0.8395493395493389,1.0,-4.0,false
5,southerly_disrupted,21:00,southerly_frontal,11,0.5454545454545454,-2.051670551670551,1.0,-6.0,true
5,southerly_disrupted,22:00,ambiguous_cooling,11,0.6363636363636364,-0.3243978243978237,1.0,-4.0,true
5,southerly_disrupted,22:00,no_material_cooling,328,1.8414634146341464,0.14428288513654433,0.0,-2.0,false
5,southerly_disrupted,22:00,post_dawn_advective,1,0.0,1.3119658119658126,1.0,-6.0,true
5,southerly_disrupted,22:00,radiative_pre_dawn,33,2.3333333333333335,-0.8395493395493389,1.0,-4.0,false
5,southerly_disrupted,22:00,southerly_frontal,15,0.4666666666666667,-2.354700854700854,1.0,-6.0,true
5,southerly_disrupted,23:00,ambiguous_cooling,10,0.5,-0.28803418803418734,1.0,-4.0,true
5,southerly_disrupted,23:00,no_material_cooling,330,1.2393939393939395,0.17257187257187323,0.0,-2.0,false
5,southerly_disrupted,23:00,post_dawn_advective,3,0.3333333333333333,-0.6880341880341874,1.0,-6.0,true
5,southerly_disrupted,23:00,radiative_pre_dawn,33,1.8181818181818181,-0.8395493395493389,1.0,-4.0,false
5,southerly_disrupted,23:00,southerly_frontal,16,0.5,-2.3130341880341874,1.0,-6.0,true
5,standard_nw,20:00,no_material_cooling,55,3.618181818181818,0.4210567210567217,0.0,0.0,false
5,standard_nw,21:00,no_material_cooling,52,3.5576923076923075,0.4850427350427357,0.0,-1.0,false
5,standard_nw,22:00,no_material_cooling,48,3.0208333333333335,0.43696581196581263,0.0,-1.0,false
5,standard_nw,23:00,no_material_cooling,46,2.1956521739130435,0.37718320327016047,0.0,-1.0,false
5,strong_nw_foehn,20:00,no_material_cooling,20,2.1,0.7619658119658126,0.0,0.0,true
5,strong_nw_foehn,21:00,no_material_cooling,20,2.0,0.7119658119658127,0.0,0.0,true
5,strong_nw_foehn,22:00,no_material_cooling,20,1.65,0.7619658119658126,0.0,0.0,true
5,strong_nw_foehn,23:00,no_material_cooling,19,1.105263157894737,0.6803868645973916,0.0,0.0,true
6,calm_radiative,20:00,no_material_cooling,8,1.25,-0.020491803278687826,0.0,0.0,true
6,calm_radiative,21:00,no_material_cooling,9,1.4444444444444444,0.007285974499089952,0.0,0.0,true
6,calm_radiative,22:00,no_material_cooling,8,1.375,-0.020491803278687826,0.0,0.0,true
6,calm_radiative,23:00,no_material_cooling,8,1.0,-0.020491803278687826,0.0,0.0,true
6,insufficient,20:00,insufficient_obs,4,0.0,0.22950819672131217,0.0,,true
6,insufficient,21:00,insufficient_obs,4,0.0,0.22950819672131217,0.0,,true
