month,cp,wind_sector,n_obs,n_days,total_obs,share,mean_sknt
4,21:00,NE,1245,224,7621,0.16336438787560686,6.0771084337349395
4,21:00,NW,188,81,7621,0.024668678651095656,11.595744680851064
4,21:00,S,1727,172,7621,0.22661068101299042,15.936884771279676
4,21:00,SE,371,89,7621,0.04868127542317281,9.1455525606469
4,21:00,SW,212,71,7621,0.027817871670384464,9.75943396226415
4,21:00,W,66,35,7621,0.00866028080304422,6.106060606060606
4,21:00,unknown,2,2,7621,0.0002624327516074006,3.0
4,22:00,E,139,75,8456,0.01643803216650899,2.402877697841727
4,22:00,N,4150,352,8456,0.49077578051087983,12.565301204819278
4,22:00,NE,1310,227,8456,0.15491958372753076,6.1664122137404584
4,22:00,NW,218,86,8456,0.025780510879848628,11.853211009174313
4,22:00,S,1931,178,8456,0.2283585619678335,15.920766442257898
4,22:00,SE,402,90,8456,0.04754020813623463,9.211442786069652
4,22:00,SW,233,76,8456,0.027554399243140966,9.639484978540773
4,22:00,W,71,38,8456,0.008396404919583728,5.830985915492958
4,22:00,unknown,2,2,8456,0.00023651844843897824,3.0
4,23:00,E,146,77,9286,0.01572259315097997,2.493150684931507
4,23:00,N,4581,353,9286,0.49332328236054274,12.72342283344248
4,23:00,NE,1363,231,9286,0.14678009907387465,6.273661041819516
4,23:00,NW,260,95,9286,0.027999138488046523,11.988461538461538
4,23:00,S,2161,195,9286,0.23271591643334053,15.758445164275798
4,23:00,SE,436,93,9286,0.04695240146457032,9.447247706422019
4,23:00,SW,257,85,9286,0.027676071505492138,9.536964980544747
4,23:00,W,80,46,9286,0.008615119534783545,5.4875
4,23:00,unknown,2,2,9286,0.00021537798836958864,3.0
5,20:00,E,123,70,6891,0.01784936874183718,2.6910569105691056
5,20:00,N,3439,366,6891,0.4990567406762444,13.015993021227102
5,20:00,NE,1274,250,6891,0.18487882745610215,6.668759811616955
5,20:00,NW,231,93,6891,0.033521985198084456,12.12987012987013
5,20:00,S,1329,157,6891,0.19286025250326513,18.029345372460497
5,20:00,SE,240,61,6891,0.0348280365694384,9.454166666666667
