month,cp,wind_sector,n_obs,n_days,mean_tmax_anomaly,mean_remaining_warming,mean_sknt,underpowered_n_lt_30
3,22:00,E,167,83,-0.17312471830532403,2.712574850299401,2.44311377245509,false
3,22:00,N,4464,336,1.534901433691757,2.172043010752688,13.209677419354838,false
3,22:00,NE,1216,227,0.6999646293152244,2.7014802631578947,6.275493421052632,false
3,22:00,NW,195,80,0.12059553349876012,2.046153846153846,10.107692307692307,false
3,22:00,S,2448,216,-2.304335336285051,1.6205065359477124,15.61437908496732,false
3,22:00,SE,576,111,-1.5950828853046586,2.0850694444444446,9.546875,false
3,22:00,SW,374,101,-1.3198953481685922,2.072192513368984,9.95187165775401,false
3,22:00,W,47,37,-0.5629832990162426,2.106382978723404,3.851063829787234,false
3,22:00,unknown,1,1,1.479569892473119,4.0,3.0,true
3,23:00,E,172,84,-0.1890347586896716,1.9244186046511629,2.505813953488372,false
3,23:00,N,4890,337,1.5529850253974544,1.4554192229038856,13.402044989775051,false
3,23:00,NE,1245,229,0.7044694908666933,1.8216867469879519,6.339759036144578,false
3,23:00,NW,214,84,0.20854185508994152,1.3691588785046729,10.490654205607477,false
3,23:00,S,2745,231,-2.261413714084258,1.2950819672131149,15.353734061930783,false
3,23:00,SE,610,113,-1.6237087960514711,1.4426229508196722,9.660655737704918,false
3,23:00,SW,425,114,-1.3580771663504103,1.6705882352941177,10.044705882352941,false
3,23:00,W,50,38,-0.6004301075268809,1.34,4.02,false
3,23:00,unknown,1,1,1.479569892473119,3.0,3.0,true
4,20:00,E,126,68,-0.42562157606405565,3.7301587301587302,2.3174603174603177,false
4,20:00,N,3243,342,1.1219754460935587,3.1301264261486277,12.547024360160345,false
4,20:00,NE,1120,214,0.4737831858407063,4.883035714285715,6.011607142857143,false
4,20:00,NW,168,78,0.02080699536451579,1.5416666666666667,11.380952380952381,false
4,20:00,S,1546,167,-2.0653985735383364,1.4670116429495472,15.846054333764554,false
4,20:00,SE,325,81,-1.2144860449285246,2.443076923076923,9.116923076923078,false
4,20:00,SW,194,68,-0.8802116595201186,1.958762886597938,9.907216494845361,false
4,20:00,W,60,33,-0.3803834808259604,2.4166666666666665,6.166666666666667,false
4,20:00,unknown,2,2,-1.1637168141592937,1.5,3.0,true
4,21:00,E,134,72,-0.4025227843085475,3.425373134328358,2.3358208955223883,false
4,21:00,N,3676,349,1.1221917821410328,2.735582154515778,12.526387377584332,false
4,21:00,NE,1245,224,0.44391370792905965,4.203212851405622,6.0771084337349395,false
4,21:00,NW,188,81,0.07032573903219563,1.425531914893617,11.595744680851064,false
4,21:00,S,1727,172,-2.095100716880776,1.335842501447597,15.936884771279676,false
4,21:00,SE,371,89,-1.1920187009517464,2.1024258760107815,9.1455525606469,false
4,21:00,SW,212,71,-0.9042828518951428,1.8254716981132075,9.75943396226415,false
4,21:00,W,66,35,-0.45159560203808163,2.242424242424242,6.106060606060606,false
4,21:00,unknown,2,2,-1.1637168141592937,1.5,3.0,true
4,22:00,E,139,75,-0.4335009868211642,2.460431654676259,2.402877697841727,false
4,22:00,N,4150,352,1.113391619575646,2.0308433734939757,12.565301204819278,false
4,22:00,NE,1310,227,0.43780990339795817,2.9435114503816795,6.1664122137404584,false
4,22:00,NW,218,86,0.16197125923520167,1.188073394495413,11.853211009174313,false
4,22:00,S,1931,178,-2.0997603149360935,1.1196271361988608,15.920766442257898,false
4,22:00,SE,402,90,-1.1736670629155126,1.5223880597014925,9.211442786069652,false
4,22:00,SW,233,76,-0.9512704622279633,1.6309012875536482,9.639484978540773,false
4,22:00,W,71,38,-0.480618222609998,2.0140845070422535,5.830985915492958,false
4,22:00,unknown,2,2,-1.1637168141592937,1.0,3.0,true
4,23:00,E,146,77,-0.4445387319675129,1.3767123287671232,2.493150684931507,false
4,23:00,N,4581,353,1.1190817014486523,1.2228771010696355,12.72342283344248,false
4,23:00,NE,1363,231,0.4426661645641105,1.7072633895818048,6.273661041819516,false
4,23:00,NW,260,95,0.2862831858407063,0.7384615384615385,11.988461538461538,false
4,23:00,S,2161,195,-2.080653417583634,0.8162887552059231,15.758445164275798,false
4,23:00,SE,436,93,-1.1797718600308533,1.048165137614679,9.447247706422019,false
4,23:00,SW,257,85,-1.0333666196067646,0.9494163424124513,9.536964980544747,false
4,23:00,W,80,46,-0.5887168141592938,1.175,5.4875,false
4,23:00,unknown,2,2,-1.1637168141592937,1.0,3.0,true
5,20:00,E,123,70,-0.9319366270585777,3.227642276422764,2.6910569105691056,false
5,20:00,N,3439,366,1.2636959660803808,2.5504507124164,13.015993021227102,false
5,20:00,NE,1274,250,0.006628292342578725,4.2982731554160125,6.668759811616955,false
5,20:00,NW,231,93,0.47213897213897277,1.303030303030303,12.12987012987013,false
5,20:00,S,1329,157,-2.244843819335918,1.0955605718585402,18.029345372460497,false
5,20:00,SE,240,61,-1.5213675213675206,1.9708333333333334,9.454166666666667,false
5,20:00,SW,187,62,-1.8110288404406043,1.374331550802139,14.711229946524064,false
5,20:00,W,67,35,-1.464153591019262,1.5671641791044777,6.970149253731344,false
5,20:00,unknown,1,1,-1.6880341880341874,4.0,3.0,true
5,21:00,E,134,71,-0.9940043372879188,3.0671641791044775,2.701492537313433,false
5,21:00,N,3921,376,1.2484616038556366,2.434583014537108,12.904616169344555,false
5,21:00,NE,1401,263,-0.007805779754387223,3.996431120628123,6.708779443254818,false
5,21:00,NW,253,97,0.5570251005033621,1.2292490118577075,12.24901185770751,false
5,21:00,S,1501,161,-2.2689802240102033,1.0153231179213857,18.01798800799467,false
5,21:00,SE,272,66,-1.5042106586224226,1.849264705882353,9.463235294117647,false
5,21:00,SW,205,67,-1.8587658953512607,1.3463414634146342,14.873170731707317,false
5,21:00,W,72,37,-1.4241452991452985,1.3611111111111112,6.916666666666667,false
5,21:00,unknown,1,1,-1.6880341880341874,4.0,3.0,true
5,22:00,E,140,74,-0.9880341880341874,2.5357142857142856,2.6857142857142855,false
5,22:00,N,4416,379,1.2340672612411752,1.9528985507246377,12.894021739130435,false
5,22:00,NE,1504,265,-0.025800145480995875,3.077127659574468,6.755984042553192,false
5,22:00,NW,281,102,0.5966633208626098,1.0142348754448398,12.153024911032029,false
5,22:00,S,1675,164,-2.2677356805715005,0.871044776119403,17.898507462686567,false
5,22:00,SE,298,68,-1.5504502954167376,1.5067114093959733,9.53020134228188,false
